Symbol	Description	Score	Functions	Links
INHBE		0.917777560385382		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=83729
FST		0.0022105208583747538	activin binding, activin receptor signaling pathway, negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, regulation of activin receptor signaling pathway, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, transmembrane receptor protein serine/threonine kinase signaling pathway	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10468
NODAL		0.001388314776352484	activin receptor signaling pathway, ameboidal cell migration, epithelial cell proliferation, formation of primary germ layer, negative regulation of cell migration, negative regulation of cell motility, negative regulation of cellular component movement, negative regulation of locomotion, negative regulation of reproductive process, nodal signaling pathway, nuclear import, nuclear transport, nucleocytoplasmic transport, pathway-restricted SMAD protein phosphorylation, positive regulation of epithelial cell proliferation, positive regulation of intracellular protein transport, positive regulation of intracellular transport, positive regulation of nucleocytoplasmic transport, positive regulation of pathway-restricted SMAD protein phosphorylation, positive regulation of protein import into nucleus, positive regulation of protein transport, positive regulation of SMAD protein import into nucleus, positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, positive regulation vascular endothelial growth factor production, protein import, protein import into nucleus, protein localization to nucleus, regulation of activin receptor signaling pathway, regulation of epithelial cell proliferation, regulation of establishment of protein localization, regulation of intracellular protein transport, regulation of intracellular transport, regulation of nucleocytoplasmic transport, regulation of pathway-restricted SMAD protein phosphorylation, regulation of protein import into nucleus, regulation of protein localization to nucleus, regulation of protein transport, regulation of reproductive process, regulation of SMAD protein import into nucleus, regulation of stem cell differentiation, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, regulation of vascular endothelial growth factor production, single-organism nuclear import, SMAD protein import into nucleus, stem cell differentiation, transmembrane receptor protein serine/threonine kinase signaling pathway, vascular endothelial growth factor production	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4838
TGFB3		0.000875508820741111	biomineral tissue development, bone mineralization, bone remodeling, cell-cell junction organization, cellular response to transforming growth factor beta stimulus, collagen biosynthetic process, cytokine binding, cytokine production involved in immune response, cytokine receptor binding, developmental process involved in reproduction, DNA replication, epithelial to mesenchymal transition, gland morphogenesis, growth factor binding, lung alveolus development, myeloid leukocyte cytokine production, negative regulation of cytokine production involved in immune response, negative regulation of DNA metabolic process, negative regulation of DNA replication, negative regulation of immune effector process, negative regulation of production of molecular mediator of immune response, nuclear import, nuclear transport, nucleocytoplasmic transport, ossification, ovulation cycle, ovulation cycle process, pathway-restricted SMAD protein phosphorylation, positive regulation of biomineral tissue development, positive regulation of bone mineralization, positive regulation of cell development, positive regulation of cell morphogenesis involved in differentiation, positive regulation of collagen biosynthetic process, positive regulation of collagen metabolic process, positive regulation of epithelial to mesenchymal transition, positive regulation of intracellular protein transport, positive regulation of intracellular transport, positive regulation of multicellular organismal metabolic process, positive regulation of nucleocytoplasmic transport, positive regulation of ossification, positive regulation of pathway-restricted SMAD protein phosphorylation, positive regulation of protein import into nucleus, positive regulation of protein transport, positive regulation of SMAD protein import into nucleus, positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, protein import, protein import into nucleus, protein localization to nucleus, regulation of biomineral tissue development, regulation of bone mineralization, regulation of cell morphogenesis involved in differentiation, regulation of collagen biosynthetic process, regulation of collagen metabolic process, regulation of cytokine production involved in immune response, regulation of DNA metabolic process, regulation of DNA replication, regulation of epithelial to mesenchymal transition, regulation of establishment of protein localization, regulation of intracellular protein transport, regulation of intracellular transport, regulation of multicellular organismal metabolic process, regulation of nucleocytoplasmic transport, regulation of ossification, regulation of pathway-restricted SMAD protein phosphorylation, regulation of protein import into nucleus, regulation of protein localization to nucleus, regulation of protein transport, regulation of SMAD protein import into nucleus, regulation of stem cell differentiation, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, response to ketone, response to transforming growth factor beta, single-organism nuclear import, SMAD protein import into nucleus, stem cell differentiation, tissue remodeling, transforming growth factor beta binding, transforming growth factor beta receptor binding, transforming growth factor beta receptor signaling pathway, transmembrane receptor protein serine/threonine kinase signaling pathway, tube development	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7043
TGFB1		0.0007010638015473858	ameboidal cell migration, biomineral tissue development, blood vessel endothelial cell migration, bone mineralization, bone remodeling, cartilage development, cell growth, cell-cell junction organization, cellular response to transforming growth factor beta stimulus, chondrocyte differentiation, collagen biosynthetic process, connective tissue development, cytokine production involved in immune response, cytokine receptor binding, DNA replication, endothelial cell migration, epithelial cell migration, epithelial cell proliferation, epithelial to mesenchymal transition, extrinsic apoptotic signaling pathway, gland morphogenesis, muscle tissue development, myeloid leukocyte cytokine production, negative regulation of blood vessel endothelial cell migration, negative regulation of cell growth, negative regulation of cell migration, negative regulation of cell motility, negative regulation of cellular component movement, negative regulation of cytokine production involved in immune response, negative regulation of DNA metabolic process, negative regulation of DNA replication, negative regulation of endothelial cell migration, negative regulation of epithelial cell migration, negative regulation of growth, negative regulation of immune effector process, negative regulation of locomotion, negative regulation of production of molecular mediator of immune response, negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, nuclear import, nuclear transport, nucleocytoplasmic transport, ossification, pathway-restricted SMAD protein phosphorylation, peptidyl-threonine modification, peptidyl-threonine phosphorylation, positive regulation of binding, positive regulation of biomineral tissue development, positive regulation of bone mineralization, positive regulation of cell development, positive regulation of cell morphogenesis involved in differentiation, positive regulation of collagen biosynthetic process, positive regulation of collagen metabolic process, positive regulation of epithelial to mesenchymal transition, positive regulation of intracellular protein transport, positive regulation of intracellular transport, positive regulation of multicellular organismal metabolic process, positive regulation of nucleocytoplasmic transport, positive regulation of ossification, positive regulation of pathway-restricted SMAD protein phosphorylation, positive regulation of protein import into nucleus, positive regulation of protein transport, positive regulation of SMAD protein import into nucleus, positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, positive regulation vascular endothelial growth factor production, protein import, protein import into nucleus, protein localization to nucleus, regulation of binding, regulation of biomineral tissue development, regulation of blood vessel endothelial cell migration, regulation of bone mineralization, regulation of cell growth, regulation of cell morphogenesis involved in differentiation, regulation of collagen biosynthetic process, regulation of collagen metabolic process, regulation of cytokine production involved in immune response, regulation of DNA metabolic process, regulation of DNA replication, regulation of endothelial cell migration, regulation of epithelial cell migration, regulation of epithelial cell proliferation, regulation of epithelial to mesenchymal transition, regulation of establishment of protein localization, regulation of growth, regulation of intracellular protein transport, regulation of intracellular transport, regulation of multicellular organismal metabolic process, regulation of nucleocytoplasmic transport, regulation of ossification, regulation of pathway-restricted SMAD protein phosphorylation, regulation of protein import into nucleus, regulation of protein localization to nucleus, regulation of protein transport, regulation of SMAD protein import into nucleus, regulation of stem cell differentiation, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, regulation of vascular endothelial growth factor production, response to ketone, response to transforming growth factor beta, single-organism nuclear import, SMAD protein complex assembly, SMAD protein import into nucleus, stem cell differentiation, striated muscle tissue development, tissue remodeling, transforming growth factor beta receptor binding, transforming growth factor beta receptor signaling pathway, transmembrane receptor protein serine/threonine kinase signaling pathway, vascular endothelial growth factor production	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7040
AMHR2		0.0006085709089923008	developmental process involved in reproduction, hormone binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=269
ACVR1C		0.0006004037334146894	activin receptor signaling pathway, ameboidal cell migration, growth factor binding, negative regulation of cell migration, negative regulation of cell motility, negative regulation of cellular component movement, negative regulation of locomotion, negative regulation of reproductive process, nodal signaling pathway, protein serine/threonine kinase activity, regulation of reproductive process, serine/threonine protein kinase complex, transmembrane receptor protein kinase activity, transmembrane receptor protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase signaling pathway	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=130399
ACVRL1		0.0005741824517558336	activin binding, activin receptor signaling pathway, adenyl nucleotide binding, adenyl ribonucleotide binding, ameboidal cell migration, artery development, ATP binding, blood vessel development, blood vessel endothelial cell migration, blood vessel remodeling, BMP signaling pathway, camera-type eye development, cartilage development, cell growth, cell-cell junction organization, cellular response to transforming growth factor beta stimulus, chondrocyte differentiation, connective tissue development, cytokine binding, DNA biosynthetic process, DNA replication, endothelial cell differentiation, endothelial cell migration, endothelial cell proliferation, endothelium development, epithelial cell differentiation, epithelial cell migration, epithelial cell proliferation, epithelial tube morphogenesis, eye development, growth factor binding, lymph vessel development, lymph vessel morphogenesis, lymphangiogenesis, morphogenesis of an epithelium, negative regulation of blood vessel endothelial cell migration, negative regulation of cell growth, negative regulation of cell migration, negative regulation of cell motility, negative regulation of cellular component movement, negative regulation of DNA metabolic process, negative regulation of endothelial cell migration, negative regulation of epithelial cell migration, negative regulation of growth, negative regulation of locomotion, pathway-restricted SMAD protein phosphorylation, positive regulation of BMP signaling pathway, positive regulation of pathway-restricted SMAD protein phosphorylation, positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, protein serine/threonine kinase activity, purine ribonucleoside triphosphate binding, regulation of blood vessel endothelial cell migration, regulation of cell growth, regulation of DNA biosynthetic process, regulation of DNA metabolic process, regulation of DNA replication, regulation of endothelial cell migration, regulation of endothelial cell proliferation, regulation of epithelial cell migration, regulation of epithelial cell proliferation, regulation of growth, regulation of pathway-restricted SMAD protein phosphorylation, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, response to transforming growth factor beta, retina development in camera-type eye, sensory organ development, SMAD binding, tissue morphogenesis, tissue remodeling, transforming growth factor beta binding, transforming growth factor beta receptor signaling pathway, transmembrane receptor protein kinase activity, transmembrane receptor protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase signaling pathway, tube development, tube morphogenesis, venous blood vessel development	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=94
ACVR1B		0.0005606864084406471	activin binding, activin receptor signaling pathway, adenyl nucleotide binding, adenyl ribonucleotide binding, ameboidal cell migration, ATP binding, cell growth, extrinsic apoptotic signaling pathway, growth factor binding, negative regulation of cell growth, negative regulation of growth, nodal signaling pathway, peptidyl-threonine modification, peptidyl-threonine phosphorylation, positive regulation of erythrocyte differentiation, positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, protein serine/threonine kinase activity, purine ribonucleoside triphosphate binding, regulation of activin receptor signaling pathway, regulation of cell growth, regulation of erythrocyte differentiation, regulation of growth, regulation of reproductive process, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, SMAD binding, transmembrane receptor protein kinase activity, transmembrane receptor protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase signaling pathway	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=91
ACVR1		0.0005471366684816625	activin binding, activin receptor signaling pathway, adenyl nucleotide binding, adenyl ribonucleotide binding, ATP binding, biomineral tissue development, BMP signaling pathway, bone mineralization, cellular response to transforming growth factor beta stimulus, cytokine binding, endocardial cushion development, endothelial cell differentiation, endothelium development, epithelial cell differentiation, epithelial tube morphogenesis, extrinsic apoptotic signaling pathway, growth factor binding, heart morphogenesis, hormone binding, morphogenesis of an epithelium, muscle tissue development, negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, ossification, osteoblast differentiation, pathway-restricted SMAD protein phosphorylation, pattern specification process, peptidyl-threonine modification, peptidyl-threonine phosphorylation, positive regulation of biomineral tissue development, positive regulation of bone mineralization, positive regulation of ossification, positive regulation of osteoblast differentiation, positive regulation of pathway-restricted SMAD protein phosphorylation, positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, protein serine/threonine kinase activity, purine ribonucleoside triphosphate binding, regionalization, regulation of activin receptor signaling pathway, regulation of biomineral tissue development, regulation of bone mineralization, regulation of ossification, regulation of osteoblast differentiation, regulation of pathway-restricted SMAD protein phosphorylation, regulation of transmembrane receptor protein serine/threonine kinase signaling pathway, response to transforming growth factor beta, serine/threonine protein kinase complex, SMAD binding, striated muscle tissue development, tissue morphogenesis, transforming growth factor beta binding, transforming growth factor beta receptor signaling pathway, transmembrane receptor protein kinase activity, transmembrane receptor protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase signaling pathway, tube development, tube morphogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=90
