Symbol	Description	Score	Functions	Links
PDX1		0.8668859605528729	amide transport, columnar/cuboidal epithelial cell differentiation, detection of chemical stimulus, endocrine pancreas development, endocrine system development, enteroendocrine cell differentiation, glandular epithelial cell differentiation, hormone secretion, hormone transport, insulin secretion, nitric oxide mediated signal transduction, pancreas development, peptide hormone secretion, peptide secretion, peptide transport, regulation of hormone levels, response to carbohydrate, response to glucose, response to hexose, response to monosaccharide, signal release	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3651
NKX6-1		0.007726578536785544	columnar/cuboidal epithelial cell development, columnar/cuboidal epithelial cell differentiation, detection of chemical stimulus, endocrine pancreas development, endocrine system development, enteroendocrine cell differentiation, glandular epithelial cell development, glandular epithelial cell differentiation, pancreas development, response to carbohydrate, response to glucose, response to hexose, response to monosaccharide	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4825
MNX1		0.006051206927917774		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3110
HHEX		0.005916545347826985	DNA binding, bending, pattern specification process, regionalization, regulatory region DNA binding, regulatory region nucleic acid binding, sequence-specific DNA binding, transcription regulatory region DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3087
FOXO1		0.0038142013247621787	carbohydrate homeostasis, DNA binding, bending, endocrine pancreas development, endocrine system development, glucose homeostasis, negative regulation of cell differentiation, pancreas development, pattern specification process, regulation of homeostatic process, sequence-specific DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2308
MAFA		0.0030098170250305034	amide transport, hormone secretion, hormone transport, insulin secretion, nitric oxide mediated signal transduction, peptide hormone secretion, peptide secretion, peptide transport, regulation of hormone levels, response to carbohydrate, response to glucose, response to hexose, response to monosaccharide, signal release	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=389692
ONECUT1		0.0026398357581945975	endocrine pancreas development, endocrine system development, pancreas development, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, sequence-specific DNA binding RNA polymerase II transcription factor activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3175
SPOP		0.002582916457653295		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8405
PCIF1		0.0016921112043206121		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=63935
PSMD9		0.001540381225422438	amide transport, bHLH transcription factor binding, hormone secretion, hormone transport, insulin secretion, peptide hormone secretion, peptide secretion, peptide transport, regulation of hormone levels, regulation of hormone secretion, regulation of insulin secretion, regulation of peptide hormone secretion, regulation of peptide secretion, regulation of peptide transport, signal release	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5715
NKX2-2		0.001495830776195639	core promoter proximal region DNA binding, endocrine pancreas development, endocrine system development, pancreas development, regulatory region DNA binding, regulatory region nucleic acid binding, transcription regulatory region DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4821
FGF10		0.0012716425370283835	pattern specification process, regionalization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2255
FOXA2		0.0012442665395299146	amide transport, carbohydrate homeostasis, core promoter proximal region DNA binding, detection of chemical stimulus, DNA binding, bending, endocrine pancreas development, endocrine system development, glucose homeostasis, hormone secretion, hormone transport, insulin secretion, negative regulation of cell differentiation, neuron fate commitment, pancreas development, pattern specification process, peptide hormone secretion, peptide secretion, peptide transport, regionalization, regulation of homeostatic process, regulation of hormone levels, regulation of hormone secretion, regulation of insulin secretion, regulation of peptide hormone secretion, regulation of peptide secretion, regulation of peptide transport, regulatory region DNA binding, regulatory region nucleic acid binding, response to carbohydrate, response to glucose, response to hexose, response to monosaccharide, RNA polymerase II regulatory region DNA binding, RNA polymerase II regulatory region sequence-specific DNA binding, sequence-specific DNA binding, sequence-specific DNA binding RNA polymerase II transcription factor activity, signal release, transcription regulatory region DNA binding, transcription regulatory region sequence-specific DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3170
HNF1A		0.0011811530246225166	amide transport, carbohydrate homeostasis, glucose homeostasis, hormone secretion, hormone transport, insulin secretion, peptide hormone secretion, peptide secretion, peptide transport, regulation of hormone levels, regulatory region DNA binding, regulatory region nucleic acid binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, sequence-specific DNA binding RNA polymerase II transcription factor activity, signal release, transcription regulatory region DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6927
PAX6		0.0010067970520750702	carbohydrate homeostasis, columnar/cuboidal epithelial cell development, columnar/cuboidal epithelial cell differentiation, endocrine pancreas development, endocrine system development, enteroendocrine cell differentiation, glandular epithelial cell development, glandular epithelial cell differentiation, glucose homeostasis, negative regulation of cell differentiation, neuron fate commitment, pancreas development, regulatory region DNA binding, regulatory region nucleic acid binding, RNA polymerase II regulatory region DNA binding, RNA polymerase II regulatory region sequence-specific DNA binding, sequence-specific DNA binding, sequence-specific DNA binding RNA polymerase II transcription factor activity, transcription regulatory region DNA binding, transcription regulatory region sequence-specific DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5080
HNF4A		0.0008522224271695356	amide transport, carbohydrate homeostasis, endocrine pancreas development, endocrine system development, glucose homeostasis, hormone secretion, hormone transport, insulin secretion, pancreas development, peptide hormone secretion, peptide secretion, peptide transport, regulation of homeostatic process, regulation of hormone levels, regulation of hormone secretion, regulation of insulin secretion, regulation of peptide hormone secretion, regulation of peptide secretion, regulation of peptide transport, regulatory region DNA binding, regulatory region nucleic acid binding, response to carbohydrate, response to glucose, response to hexose, response to monosaccharide, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, sequence-specific DNA binding RNA polymerase II transcription factor activity, signal release, transcription regulatory region DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3172
PBX1		0.0008098953917354823		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5087
MEIS2		0.0007564905435935576	negative regulation of cell differentiation, sequence-specific DNA binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4212
