#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CTNNB1	AKT1	1852818	1846136	9606.ENSP00000344456	9606.ENSP00000270202	0	0	0	0	0	0.574	0.900	0.988	0.999
CTNNB1	GSK3B	1852818	1850681	9606.ENSP00000344456	9606.ENSP00000324806	0	0	0	0	0	0.999	0.900	0.987	0.999
AXIN1	APC	1845118	1844508	9606.ENSP00000262320	9606.ENSP00000257430	0	0	0	0	0	0.998	0.900	0.405	0.999
AXIN1	LRP6	1845118	1844891	9606.ENSP00000262320	9606.ENSP00000261349	0	0	0	0	0	0.991	0.900	0.991	0.999
JUN	GSK3B	1855436	1850681	9606.ENSP00000360266	9606.ENSP00000324806	0	0	0	0	0	0.948	0.900	0.918	0.999
GSK3B	AXIN2	1850681	1848431	9606.ENSP00000324806	9606.ENSP00000302625	0	0	0	0	0	0.991	0.900	0.853	0.999
GSK3B	AXIN1	1850681	1845118	9606.ENSP00000324806	9606.ENSP00000262320	0	0	0	0	0	0.999	0.900	0.982	0.999
GSK3B	LRP6	1850681	1844891	9606.ENSP00000324806	9606.ENSP00000261349	0	0	0	0	0	0.915	0.900	0.963	0.999
CTNNB1	AXIN1	1852818	1845118	9606.ENSP00000344456	9606.ENSP00000262320	0	0	0	0	0	0.999	0.900	0.993	0.999
CTNNB1	APC	1852818	1844508	9606.ENSP00000344456	9606.ENSP00000257430	0	0	0	0	0	0.999	0.900	0.482	0.999
FRAT1	GSK3B	1855390	1850681	9606.ENSP00000360060	9606.ENSP00000324806	0	0	0	0	0	0.994	0.900	0.451	0.999
MYC	GSK3B	1856789	1850681	9606.ENSP00000367207	9606.ENSP00000324806	0	0	0	0	0	0.967	0.900	0.921	0.999
MAPT	GSK3B	1852372	1850681	9606.ENSP00000340820	9606.ENSP00000324806	0	0	0	0	0	0.999	0.900	0.932	0.999
GSK3B	APC	1850681	1844508	9606.ENSP00000324806	9606.ENSP00000257430	0	0	0	0	0	0.986	0.900	0.577	0.999
CTNNB1	AXIN2	1852818	1848431	9606.ENSP00000344456	9606.ENSP00000302625	0	0	0	0	0	0.987	0.900	0.945	0.999
GSK3B	AKT1	1850681	1846136	9606.ENSP00000324806	9606.ENSP00000270202	0	0	0	0.632	0	0.999	0.900	0.986	0.999
MYC	JUN	1856789	1855436	9606.ENSP00000367207	9606.ENSP00000360266	0	0	0	0	0	0.830	0.900	0.878	0.997
MYC	AXIN1	1856789	1845118	9606.ENSP00000367207	9606.ENSP00000262320	0	0	0	0	0	0.574	0.900	0.929	0.996
MYC	AKT1	1856789	1846136	9606.ENSP00000367207	9606.ENSP00000270202	0	0	0	0	0	0	0.900	0.963	0.996
CTNNB1	LRP6	1852818	1844891	9606.ENSP00000344456	9606.ENSP00000261349	0	0	0	0	0	0.570	0.900	0.851	0.993
JUN	CTNNB1	1855436	1852818	9606.ENSP00000360266	9606.ENSP00000344456	0	0	0	0	0	0.105	0.900	0.918	0.992
MAPT	AKT1	1852372	1846136	9606.ENSP00000340820	9606.ENSP00000270202	0	0	0	0	0	0.912	0	0.885	0.989
MYC	CTNNB1	1856789	1852818	9606.ENSP00000367207	9606.ENSP00000344456	0	0	0	0	0	0.570	0.900	0.730	0.987
AXIN2	APC	1848431	1844508	9606.ENSP00000302625	9606.ENSP00000257430	0	0	0	0	0	0.760	0.900	0.414	0.984
AXIN2	LRP6	1848431	1844891	9606.ENSP00000302625	9606.ENSP00000261349	0	0	0	0	0	0	0	0.981	0.981
AXIN2	AXIN1	1848431	1845118	9606.ENSP00000302625	9606.ENSP00000262320	0	0	0	0.890	0	0.792	0.900	0.879	0.980
JUN	AKT1	1855436	1846136	9606.ENSP00000360266	9606.ENSP00000270202	0	0	0	0	0	0	0	0.976	0.977
FRAT1	AXIN1	1855390	1845118	9606.ENSP00000360060	9606.ENSP00000262320	0	0	0	0	0	0	0.900	0.623	0.960
FRAT1	CTNNB1	1855390	1852818	9606.ENSP00000360060	9606.ENSP00000344456	0	0	0	0	0	0	0.900	0.395	0.936
AKT1	AXIN1	1846136	1845118	9606.ENSP00000270202	9606.ENSP00000262320	0	0	0	0	0	0	0	0.919	0.919
LRP6	APC	1844891	1844508	9606.ENSP00000261349	9606.ENSP00000257430	0	0	0	0	0	0	0.900	0.146	0.910
MYC	AXIN2	1856789	1848431	9606.ENSP00000367207	9606.ENSP00000302625	0	0	0	0	0	0	0	0.903	0.903
FRAT1	APC	1855390	1844508	9606.ENSP00000360060	9606.ENSP00000257430	0	0	0	0	0	0	0.900	0	0.900
JUN	MAPT	1855436	1852372	9606.ENSP00000360266	9606.ENSP00000340820	0	0	0	0	0	0	0	0.866	0.866
JUN	AXIN1	1855436	1845118	9606.ENSP00000360266	9606.ENSP00000262320	0	0	0	0	0	0	0	0.532	0.532
MYC	APC	1856789	1844508	9606.ENSP00000367207	9606.ENSP00000257430	0	0	0	0	0	0.364	0	0.230	0.489
AXIN2	AKT1	1848431	1846136	9606.ENSP00000302625	9606.ENSP00000270202	0	0	0	0	0	0	0	0.429	0.429
