#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TGFBR2	TGFB1	1853779	1842869	9606.ENSP00000351905	9606.ENSP00000221930	0	0	0	0	0	0.999	0.900	0.789	0.999
TGFBR1	TGFBR2	1856216	1853779	9606.ENSP00000364133	9606.ENSP00000351905	0	0	0	0.808	0.077	0.999	0.900	0.977	0.999
TGFBR1	TGFB1	1856216	1842869	9606.ENSP00000364133	9606.ENSP00000221930	0	0	0	0	0	0.996	0.900	0.962	0.999
TGFB1	DCN	1842869	1842218	9606.ENSP00000221930	9606.ENSP00000052754	0	0	0	0	0	0.962	0.900	0.938	0.999
TGFBR1	SMAD2	1856216	1845079	9606.ENSP00000364133	9606.ENSP00000262160	0	0	0	0	0	0.996	0.900	0.992	0.999
SMAD2	TGFB1	1845079	1842869	9606.ENSP00000262160	9606.ENSP00000221930	0	0	0	0	0	0.605	0.900	0.985	0.999
SMAD3	SMAD2	1851536	1845079	9606.ENSP00000332973	9606.ENSP00000262160	0	0	0	0.987	0	0.991	0.900	0.980	0.999
TGFBR1	SMAD3	1856216	1851536	9606.ENSP00000364133	9606.ENSP00000332973	0	0	0	0	0	0.931	0.900	0.989	0.999
SMAD3	TGFB1	1851536	1842869	9606.ENSP00000332973	9606.ENSP00000221930	0	0	0	0	0	0.605	0.900	0.985	0.999
TGFBR1	SMAD7	1856216	1845078	9606.ENSP00000364133	9606.ENSP00000262158	0	0	0	0	0	0.999	0.900	0.961	0.999
SMAD7	TGFB1	1845078	1842869	9606.ENSP00000262158	9606.ENSP00000221930	0	0	0	0	0	0.599	0.900	0.967	0.998
ACVRL1	TGFB1	1857773	1842869	9606.ENSP00000373574	9606.ENSP00000221930	0	0	0	0	0	0.923	0.900	0.628	0.996
LTBP1	TGFB1	1859086	1842869	9606.ENSP00000386043	9606.ENSP00000221930	0	0	0	0	0	0.812	0.800	0.913	0.996
APP	TGFB1	1846936	1842869	9606.ENSP00000284981	9606.ENSP00000221930	0	0	0	0	0	0.938	0.900	0.311	0.995
LTBP4	TGFB1	1849476	1842869	9606.ENSP00000311905	9606.ENSP00000221930	0	0	0	0	0	0.576	0.900	0.891	0.995
TGFBR2	SMAD7	1853779	1845078	9606.ENSP00000351905	9606.ENSP00000262158	0	0	0	0	0.072	0.807	0.900	0.712	0.994
TGFBR2	SMAD3	1853779	1851536	9606.ENSP00000351905	9606.ENSP00000332973	0	0	0	0	0.072	0.564	0.900	0.853	0.993
SMAD2	SMAD7	1845079	1845078	9606.ENSP00000262160	9606.ENSP00000262158	0	0	0	0.685	0	0.848	0.900	0.962	0.988
ACVRL1	TGFBR2	1857773	1853779	9606.ENSP00000373574	9606.ENSP00000351905	0	0	0	0.770	0.077	0.857	0.900	0.809	0.988
SMAD3	SMAD7	1851536	1845078	9606.ENSP00000332973	9606.ENSP00000262158	0	0	0	0.695	0	0.845	0.900	0.988	0.988
TGFBR2	SMAD2	1853779	1845079	9606.ENSP00000351905	9606.ENSP00000262160	0	0	0	0	0.072	0	0.900	0.883	0.988
ACVRL1	TGFBR1	1857773	1856216	9606.ENSP00000373574	9606.ENSP00000364133	0	0	0	0.931	0	0.809	0.900	0.951	0.981
ACVRL1	SMAD7	1857773	1845078	9606.ENSP00000373574	9606.ENSP00000262158	0	0	0	0	0	0.323	0.900	0.566	0.968
LTBP1	LTBP4	1859086	1849476	9606.ENSP00000386043	9606.ENSP00000311905	0	0	0	0.762	0	0	0.900	0.738	0.917
ACVRL1	SMAD2	1857773	1845079	9606.ENSP00000373574	9606.ENSP00000262160	0	0	0	0	0	0.248	0	0.848	0.881
ACVRL1	SMAD3	1857773	1851536	9606.ENSP00000373574	9606.ENSP00000332973	0	0	0	0	0	0.248	0	0.789	0.834
SMAD2	DCN	1845079	1842218	9606.ENSP00000262160	9606.ENSP00000052754	0	0	0	0	0	0	0	0.535	0.535
LTBP1	SMAD2	1859086	1845079	9606.ENSP00000386043	9606.ENSP00000262160	0	0	0	0	0	0	0	0.519	0.519
SMAD7	DCN	1845078	1842218	9606.ENSP00000262158	9606.ENSP00000052754	0	0	0	0	0	0	0	0.508	0.508
SMAD3	DCN	1851536	1842218	9606.ENSP00000332973	9606.ENSP00000052754	0	0	0	0	0	0	0	0.472	0.472
LTBP4	SMAD2	1849476	1845079	9606.ENSP00000311905	9606.ENSP00000262160	0	0	0	0	0	0	0	0.440	0.440
LTBP1	DCN	1859086	1842218	9606.ENSP00000386043	9606.ENSP00000052754	0	0	0	0	0	0.073	0	0.415	0.434
LTBP1	SMAD3	1859086	1851536	9606.ENSP00000386043	9606.ENSP00000332973	0	0	0	0	0	0	0	0.415	0.415
LTBP1	TGFBR1	1859086	1856216	9606.ENSP00000386043	9606.ENSP00000364133	0	0	0	0	0	0	0	0.415	0.414
