#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTCH1	SHH	1851463	1847842	9606.ENSP00000332353	9606.ENSP00000297261	0	0	0	0	0	0.857	0.900	0.995	0.999
GLI2	SHH	1854160	1847842	9606.ENSP00000354586	9606.ENSP00000297261	0	0	0	0	0	0.662	0.900	0.993	0.999
PTCH1	GLI1	1851463	1843155	9606.ENSP00000332353	9606.ENSP00000228682	0	0	0	0	0	0.671	0.900	0.995	0.999
PTCH2	SHH	1855636	1847842	9606.ENSP00000361266	9606.ENSP00000297261	0	0	0	0	0	0.857	0.900	0.940	0.999
SHH	HHIP	1847842	1847756	9606.ENSP00000297261	9606.ENSP00000296575	0	0	0	0	0	0.955	0.900	0.700	0.998
SHH	GLI1	1847842	1843155	9606.ENSP00000297261	9606.ENSP00000228682	0	0	0	0	0.072	0.662	0	0.995	0.998
GLI3	SHH	1858347	1847842	9606.ENSP00000379258	9606.ENSP00000297261	0	0	0	0	0.073	0.662	0	0.991	0.997
GPC3	SHH	1858180	1847842	9606.ENSP00000377836	9606.ENSP00000297261	0	0	0	0	0	0.269	0.900	0.962	0.997
SHH	BMP4	1847842	1843758	9606.ENSP00000297261	9606.ENSP00000245451	0	0	0	0	0	0.595	0	0.993	0.997
GAS1	SHH	1847989	1847842	9606.ENSP00000298743	9606.ENSP00000297261	0	0	0	0	0	0.655	0.900	0.892	0.995
PTCH1	BMP4	1851463	1843758	9606.ENSP00000332353	9606.ENSP00000245451	0	0	0	0	0	0.717	0	0.977	0.993
BMP2	SHH	1856935	1847842	9606.ENSP00000368104	9606.ENSP00000297261	0	0	0	0	0	0.595	0	0.981	0.992
GLI2	PTCH1	1854160	1851463	9606.ENSP00000354586	9606.ENSP00000332353	0	0	0	0	0	0.671	0	0.967	0.988
GLI3	PTCH1	1858347	1851463	9606.ENSP00000379258	9606.ENSP00000332353	0	0	0	0	0	0.671	0	0.953	0.983
PTCH2	GLI1	1855636	1843155	9606.ENSP00000361266	9606.ENSP00000228682	0	0	0	0	0	0.671	0	0.939	0.979
PTCH2	GLI2	1855636	1854160	9606.ENSP00000361266	9606.ENSP00000354586	0	0	0	0	0	0.671	0	0.931	0.976
GPC3	PTCH1	1858180	1851463	9606.ENSP00000377836	9606.ENSP00000332353	0	0	0	0	0	0	0.900	0.749	0.973
GLI3	PTCH2	1858347	1855636	9606.ENSP00000379258	9606.ENSP00000361266	0	0	0	0	0	0.671	0	0.906	0.967
BMP2	GLI2	1856935	1854160	9606.ENSP00000368104	9606.ENSP00000354586	0	0	0	0	0	0	0	0.965	0.965
GLI3	BMP2	1858347	1856935	9606.ENSP00000379258	9606.ENSP00000368104	0	0	0	0	0	0	0	0.964	0.964
