#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BMP2	BMPR1A	1856935	1843002	9606.ENSP00000368104	9606.ENSP00000224764	0	0	0	0	0	0.999	0.900	0.983	0.999
BMP7	BMPR2	1858342	1856145	9606.ENSP00000379204	9606.ENSP00000363708	0	0	0	0	0	0.805	0.900	0.973	0.999
BMP4	BMPR1A	1843758	1843002	9606.ENSP00000245451	9606.ENSP00000224764	0	0	0	0	0	0.966	0.900	0.946	0.999
BMP7	ACVR1	1858342	1845380	9606.ENSP00000379204	9606.ENSP00000263640	0	0	0	0	0	0.684	0.900	0.977	0.999
BMP7	BMPR1A	1858342	1843002	9606.ENSP00000379204	9606.ENSP00000224764	0	0	0	0	0	0.858	0.900	0.962	0.999
SMAD7	BMPR1A	1845078	1843002	9606.ENSP00000262158	9606.ENSP00000224764	0	0	0	0	0	0.866	0.900	0.946	0.999
GDF5	BMPR1A	1856103	1843002	9606.ENSP00000363489	9606.ENSP00000224764	0	0	0	0	0	0.991	0.800	0.924	0.999
BMPR2	BMP4	1856145	1843758	9606.ENSP00000363708	9606.ENSP00000245451	0	0	0	0	0	0.912	0.900	0.969	0.999
BMP6	BMPR1A	1846835	1843002	9606.ENSP00000283147	9606.ENSP00000224764	0	0	0	0	0	0.860	0.900	0.953	0.999
BMPR1B	BMP4	1845568	1843758	9606.ENSP00000264568	9606.ENSP00000245451	0	0	0	0	0	0.867	0.900	0.930	0.999
BMP2	BMPR1B	1856935	1845568	9606.ENSP00000368104	9606.ENSP00000264568	0	0	0	0	0	0.940	0.900	0.981	0.999
BMPR2	SMAD6	1856145	1847140	9606.ENSP00000363708	9606.ENSP00000288840	0	0	0	0	0.072	0.573	0.900	0.959	0.998
BMP2	BMPR2	1856935	1856145	9606.ENSP00000368104	9606.ENSP00000363708	0	0	0	0	0	0.912	0.900	0.827	0.998
GDF5	BMPR1B	1856103	1845568	9606.ENSP00000363489	9606.ENSP00000264568	0	0	0	0	0	0.921	0.800	0.927	0.998
SMAD6	BMPR1B	1847140	1845568	9606.ENSP00000288840	9606.ENSP00000264568	0	0	0	0	0	0.884	0.900	0.769	0.997
BMP7	BMPR1B	1858342	1845568	9606.ENSP00000379204	9606.ENSP00000264568	0	0	0	0	0	0.860	0.900	0.819	0.997
BMPR2	BMP6	1856145	1846835	9606.ENSP00000363708	9606.ENSP00000283147	0	0	0	0	0	0.809	0.900	0.820	0.996
BMP2	SMAD6	1856935	1847140	9606.ENSP00000368104	9606.ENSP00000288840	0	0	0	0	0	0.119	0.900	0.958	0.996
BMP7	SMAD6	1858342	1847140	9606.ENSP00000379204	9606.ENSP00000288840	0	0	0	0	0	0.119	0.900	0.950	0.995
BMP2	SMAD7	1856935	1845078	9606.ENSP00000368104	9606.ENSP00000262158	0	0	0	0	0	0.119	0.900	0.942	0.994
SMAD6	BMPR1A	1847140	1843002	9606.ENSP00000288840	9606.ENSP00000224764	0	0	0	0	0	0.698	0.900	0.797	0.993
BMP2	ACVR1	1856935	1845380	9606.ENSP00000368104	9606.ENSP00000263640	0	0	0	0	0	0.701	0.800	0.900	0.993
BMP6	BMPR1B	1846835	1845568	9606.ENSP00000283147	9606.ENSP00000264568	0	0	0	0	0	0.685	0.900	0.792	0.992
BMPR2	BMPR1A	1856145	1843002	9606.ENSP00000363708	9606.ENSP00000224764	0	0	0	0.756	0.077	0.856	0.900	0.976	0.989
ACVR1	BMP4	1845380	1843758	9606.ENSP00000263640	9606.ENSP00000245451	0	0	0	0	0	0.339	0	0.983	0.988
BMPR2	BMPR1B	1856145	1845568	9606.ENSP00000363708	9606.ENSP00000264568	0	0	0	0.788	0.077	0.856	0.900	0.961	0.988
BMPR2	ACVR1	1856145	1845380	9606.ENSP00000363708	9606.ENSP00000263640	0	0	0	0.774	0.077	0.855	0.900	0.889	0.988
BMPR2	SMAD7	1856145	1845078	9606.ENSP00000363708	9606.ENSP00000262158	0	0	0	0	0.072	0.573	0.900	0.728	0.987
BMPR2	GDF5	1856145	1856103	9606.ENSP00000363708	9606.ENSP00000363489	0	0	0	0	0	0.803	0.800	0.670	0.985
BMPR1B	SMAD7	1845568	1845078	9606.ENSP00000264568	9606.ENSP00000262158	0	0	0	0	0	0.435	0.900	0.716	0.982
SMAD7	BMP4	1845078	1843758	9606.ENSP00000262158	9606.ENSP00000245451	0	0	0	0	0	0.119	0.900	0.766	0.977
SMAD6	ACVR1	1847140	1845380	9606.ENSP00000288840	9606.ENSP00000263640	0	0	0	0	0	0.864	0	0.797	0.971
BMP7	BMP4	1858342	1843758	9606.ENSP00000379204	9606.ENSP00000245451	0	0	0	0.804	0	0.636	0.900	0.994	0.969
BMP7	BMP2	1858342	1856935	9606.ENSP00000379204	9606.ENSP00000368104	0	0	0	0.811	0	0.636	0.900	0.967	0.968
SMAD6	BMP4	1847140	1843758	9606.ENSP00000288840	9606.ENSP00000245451	0	0	0	0	0	0.119	0	0.961	0.964
SMAD6	SMAD7	1847140	1845078	9606.ENSP00000288840	9606.ENSP00000262158	0	0	0	0.927	0	0.564	0.900	0.935	0.957
BMPR1B	BMPR1A	1845568	1843002	9606.ENSP00000264568	9606.ENSP00000224764	0	0	0	0.979	0	0.569	0.900	0.978	0.955
BMP7	SMAD7	1858342	1845078	9606.ENSP00000379204	9606.ENSP00000262158	0	0	0	0	0	0.119	0	0.939	0.945
BMP6	SMAD7	1846835	1845078	9606.ENSP00000283147	9606.ENSP00000262158	0	0	0	0	0	0.119	0	0.926	0.932
BMP7	GDF5	1858342	1856103	9606.ENSP00000379204	9606.ENSP00000363489	0	0	0	0.727	0	0	0.900	0.942	0.925
BMP2	GDF5	1856935	1856103	9606.ENSP00000368104	9606.ENSP00000363489	0	0	0	0.767	0	0	0.900	0.715	0.916
GDF5	BMP4	1856103	1843758	9606.ENSP00000363489	9606.ENSP00000245451	0	0	0	0.760	0	0	0.900	0.688	0.916
ACVR1	SMAD7	1845380	1845078	9606.ENSP00000263640	9606.ENSP00000262158	0	0	0	0	0	0.698	0	0.718	0.911
BMP2	BMP4	1856935	1843758	9606.ENSP00000368104	9606.ENSP00000245451	0	0	0	0.968	0	0	0.900	0.973	0.903
BMP6	ACVR1	1846835	1845380	9606.ENSP00000283147	9606.ENSP00000263640	0	0	0	0	0	0.301	0	0.836	0.880
GDF5	ACVR1	1856103	1845380	9606.ENSP00000363489	9606.ENSP00000263640	0	0	0	0	0	0.613	0	0.635	0.852
SMAD6	BMP6	1847140	1846835	9606.ENSP00000288840	9606.ENSP00000283147	0	0	0	0	0	0.119	0	0.693	0.718
BMP6	BMP4	1846835	1843758	9606.ENSP00000283147	9606.ENSP00000245451	0	0	0	0.787	0	0.636	0	0.953	0.709
BMP2	BMP6	1856935	1846835	9606.ENSP00000368104	9606.ENSP00000283147	0	0	0	0.795	0	0.636	0	0.989	0.709
ACVR1	BMPR1A	1845380	1843002	9606.ENSP00000263640	9606.ENSP00000224764	0	0	0	0.935	0	0.576	0	0.849	0.599
GDF5	SMAD6	1856103	1847140	9606.ENSP00000363489	9606.ENSP00000288840	0	0	0	0	0	0.119	0	0.465	0.509
GDF5	SMAD7	1856103	1845078	9606.ENSP00000363489	9606.ENSP00000262158	0	0	0	0	0	0.119	0	0.385	0.435
