#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RXRG	RARA	1853910	1844268	9606.ENSP00000352900	9606.ENSP00000254066	0	0	0	0.818	0	0.955	0.900	0.835	0.996
NR4A1	NR0B2	1853979	1844279	9606.ENSP00000353427	9606.ENSP00000254227	0	0	0	0	0	0.106	0.900	0.847	0.985
NR0B2	RARA	1844279	1844268	9606.ENSP00000254227	9606.ENSP00000254066	0	0	0	0	0	0.807	0.900	0.184	0.982
RXRG	RARB	1853910	1851458	9606.ENSP00000352900	9606.ENSP00000332296	0	0	0	0.819	0	0.690	0.900	0.839	0.972
NR4A2	NR0B2	1852822	1844279	9606.ENSP00000344479	9606.ENSP00000254227	0	0	0	0	0	0.106	0.900	0.692	0.970
ESR2	NR0B2	1852756	1844279	9606.ENSP00000343925	9606.ENSP00000254227	0	0	0	0	0	0.576	0.900	0.313	0.968
NR4A1	RXRG	1853979	1853910	9606.ENSP00000353427	9606.ENSP00000352900	0	0	0	0.773	0	0.643	0.900	0.576	0.967
NR4A2	RARA	1852822	1844268	9606.ENSP00000344479	9606.ENSP00000254066	0	0	0	0.778	0	0.593	0.900	0.373	0.960
NR4A2	RARB	1852822	1851458	9606.ENSP00000344479	9606.ENSP00000332296	0	0	0	0.788	0	0.593	0.900	0.293	0.959
RXRG	NR0B2	1853910	1844279	9606.ENSP00000352900	9606.ENSP00000254227	0	0	0	0.693	0	0.564	0.900	0.244	0.957
RXRG	NR2F1	1853910	1850774	9606.ENSP00000352900	9606.ENSP00000325819	0	0	0	0.889	0	0.361	0.900	0.503	0.936
RORC	NR0B2	1850886	1844279	9606.ENSP00000327025	9606.ENSP00000254227	0	0	0	0	0	0	0.900	0.346	0.931
HNF4G	NR0B2	1858394	1844279	9606.ENSP00000379701	9606.ENSP00000254227	0	0	0	0.684	0	0.118	0.900	0.748	0.929
NR4A1	NR2C1	1853979	1851567	9606.ENSP00000353427	9606.ENSP00000333275	0	0	0	0.642	0	0.106	0.900	0.692	0.929
NR4A2	NR2C1	1852822	1851567	9606.ENSP00000344479	9606.ENSP00000333275	0	0	0	0.641	0	0.106	0.900	0.664	0.928
RXRG	NR4A2	1853910	1852822	9606.ENSP00000352900	9606.ENSP00000344479	0	0	0	0.763	0	0.206	0.900	0.576	0.928
RARB	RARA	1851458	1844268	9606.ENSP00000332296	9606.ENSP00000254066	0	0	0	0.980	0	0.267	0.900	0.725	0.924
NR4A2	NR2F1	1852822	1850774	9606.ENSP00000344479	9606.ENSP00000325819	0	0	0	0.759	0	0.106	0.900	0.607	0.920
NR4A1	NR2F1	1853979	1850774	9606.ENSP00000353427	9606.ENSP00000325819	0	0	0	0.769	0	0.106	0.900	0.606	0.919
HNF4G	NR2C1	1858394	1851567	9606.ENSP00000379701	9606.ENSP00000333275	0	0	0	0.694	0	0.075	0.900	0.504	0.917
